feature_set,target,task,model,cv_scheme,feature_type,n_components,train_pearson_r_mean,train_pearson_r_std,train_mse_mean,train_mse_std,test_pearson_r_mean,test_pearson_r_std,test_mse_mean,test_mse_std,train_f1_mean,train_f1_std,train_accuracy_mean,train_accuracy_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std
pca_10,arousal,regression,linear_regression,group_kfold,pca,10.0,0.398047457865243,0.007757087700695403,0.030354370898492508,0.0006107418089504077,0.4113923379918685,0.1128295539642413,0.03162313565873432,0.0108242146806491,,,,,,,,
pca_10,arousal,regression,linear_regression,kfold,pca,10.0,0.3976716734715289,0.0012786538634707125,0.030386632615985915,9.683997608642153e-05,0.39600939858964535,0.02200822851497678,0.03045680645652004,0.0016616228838504477,,,,,,,,
pca_10,arousal,regression,mlp_regressor,group_kfold,pca,10.0,0.6620743934884561,0.017742242501810005,0.020369080158027134,0.0010105599235635783,0.3997262009992564,0.10911726279392969,0.031739679699705016,0.008338787707907407,,,,,,,,
pca_10,arousal,regression,mlp_regressor,kfold,pca,10.0,0.658920423556582,0.01676221816707389,0.02055524642241778,0.0008220532212223183,0.5311475720811831,0.031978711607230446,0.026452519097745392,0.0016310392617343123,,,,,,,,
pca_10,valence,regression,linear_regression,group_kfold,pca,10.0,0.16919091640008063,0.00605477222127253,0.015659242127242262,0.0004889830958181425,0.15985255777880492,0.1105121806329291,0.016273888761073965,0.008694644803549222,,,,,,,,
pca_10,valence,regression,linear_regression,kfold,pca,10.0,0.16868586402310234,0.0017604835371288722,0.01567473806999119,7.35542594119091e-05,0.16531159928049644,0.03088342954870246,0.01569881744781005,0.0012516061230977173,,,,,,,,
pca_10,valence,regression,mlp_regressor,group_kfold,pca,10.0,0.4345478070296306,0.017279191554982393,0.013161595645401125,0.00043430148583692207,0.09173511691845082,0.08818666470622472,0.018103131889127863,0.008370441979877805,,,,,,,,
pca_10,valence,regression,mlp_regressor,kfold,pca,10.0,0.4314607400042394,0.02630044124908896,0.013237837382857035,0.0004195076193510938,0.24693210581313757,0.03300203738720183,0.015744746203925557,0.0011275434025057967,,,,,,,,
pca_10,arousal,classification,logistic_regression,group_kfold,pca,10.0,0.36194154332830714,0.008232899722306364,,,0.3720045770155921,0.12260786235194192,,,0.6735602182509581,0.0041428260863778195,0.6748360110798763,0.004158870854424227,0.6724690632129028,0.060453069578564465,0.6568052688839221,0.07194462389165349
pca_10,arousal,classification,logistic_regression,kfold,pca,10.0,0.3615521878811989,0.0019235654856390887,,,0.3594843256179352,0.030224203986802985,,,0.6729907097732135,0.001134483019768601,0.6741565550101999,0.001114748176975097,0.6718423293348961,0.016091651456427762,0.6730458186884519,0.01598472448025381
